Price_Rank,Country,City,Price_in_USD,base_currency_price,percentage_gap
1,Denmark,Copenhagen,6.05,3.88,0.5592783505154639
2,Switzerland,Aarau,5.94,3.88,0.5309278350515465
3,Finland,Vantaa,5.4,3.88,0.3917525773195878
4,Macau,Macau,5.21,3.88,0.3427835051546393
5,Luxembourg,Luxembourg,5.18,3.88,0.3350515463917525
6,Norway,Oslo,5.14,3.88,0.32474226804123707
7,Hong Kong,Hong Kong,4.6,3.88,0.18556701030927836
8,Singapore,Singapore,4.5,3.88,0.1597938144329898
9,Germany,Munich,4.39,3.88,0.13144329896907214
10,Russia,Moscow,4.35,3.88,0.12113402061855671
11,Belgium,Leuven,4.35,3.88,0.12113402061855671
11,Monaco,Monaco,4.35,3.88,0.12113402061855671
13,Sweden,Stockholm,4.34,3.88,0.11855670103092786
14,Curacao,Willemstad,4.34,3.88,0.11855670103092786
15,Lebanon,"Mount Lebanon, Jbeil District",4.31,3.88,0.11082474226804107
16,United States,New York City,4.3,3.88,0.10824742268041243
17,France,Paris,4.3,3.88,0.10824742268041243
18,United Arab Emirates,Dubai,4.29,3.88,0.10567010309278357
19,Kuwait,Al Jahra,4.27,3.88,0.10051546391752564
20,Bahrain,Manama,4.2,3.88,0.08247422680412386
21,The Bahamas,Nassau,4.2,3.88,0.08247422680412386
22,Austria,Wien (Vienna),4.13,3.88,0.06443298969072164
23,Qatar,Doha,4.12,3.88,0.061855670103092786
24,Oman,Muscat,4.11,3.88,0.05927835051546393
25,Jordan,Amman,4.09,3.88,0.054123711340206215
26,China,Shanghai,4.08,3.88,0.05154639175257736
27,Netherlands,Eindhoven,4.07,3.88,0.0489690721649485
28,Cyprus,Nicosia,4.02,3.88,0.036082474226803996
29,Panama,Panama City,3.95,3.88,0.01804123711340222
30,Chile,Santiago,3.91,3.88,0.0077319587628865705
31,Ireland,Dublin,3.91,3.88,0.0077319587628865705
32,South Korea,Seoul,3.88,3.88,0.0
33,Greece,Athens,3.85,3.88,-0.0077319587628865705
34,Taiwan,Hsinchu City,3.85,3.88,-0.0077319587628865705
35,Uruguay,Montevideo,3.84,3.88,-0.010309278350515427
36,Japan,Tokyo,3.79,3.88,-0.02319587628865971
37,Thailand,Bangkok,3.76,3.88,-0.030927835051546393
38,Saudi Arabia,Riyadh,3.73,3.88,-0.03865979381443296
39,Costa Rica,San Jose,3.64,3.88,-0.061855670103092675
40,Brunei,Bandar Seri Begawan,3.63,3.88,-0.06443298969072164
41,United Kingdom,London,3.58,3.88,-0.07731958762886593
42,Trinidad and Tobago,Trincity,3.4,3.88,-0.12371134020618557
43,Jamaica,Montego Bay,3.31,3.88,-0.14690721649484528
44,India,New Delhi,3.3,3.88,-0.14948453608247425
45,New Zealand,Wellington,3.28,3.88,-0.15463917525773196
46,El Salvador,San Salvador,3.25,3.88,-0.16237113402061853
47,Andorra,Andorra la Vella,3.19,3.88,-0.1778350515463918
47,Spain,Madrid (outskirts),3.19,3.88,-0.1778350515463918
49,Kazakhstan,Almaty,3.19,3.88,-0.1778350515463918
50,Canada,Toronto,3.15,3.88,-0.18814432989690721
51,Indonesia,Jakarta (outskirts),3.13,3.88,-0.19329896907216493
52,Australia,Sydney,3.09,3.88,-0.20360824742268047
53,Slovakia,Bratislava,3.08,3.88,-0.2061855670103092
54,Malaysia,Seri Kembangan,3.04,3.88,-0.21649484536082475
55,Poland,Warsaw,3.02,3.88,-0.22164948453608246
56,Vietnam,Ho Chi Minh City,3.02,3.88,-0.22164948453608246
57,Cambodia,Phnom Penh,2.95,3.88,-0.23969072164948446
58,Czech Republic,Prague,2.94,3.88,-0.24226804123711343
59,Bolivia,Santa Cruz,2.9,3.88,-0.25257731958762886
60,Azerbaijan,Baku,2.89,3.88,-0.2551546391752577
61,Guatemala,Guatemala City,2.86,3.88,-0.2628865979381444
62,Romania,Bucharest,2.77,3.88,-0.2860824742268041
63,Italy,Milan,2.75,3.88,-0.2912371134020618
63,Portugal,Lisbon,2.75,3.88,-0.2912371134020618
65,Peru,Lima,2.7,3.88,-0.3041237113402061
66,Morocco,Casablanca,2.69,3.88,-0.30670103092783507
67,Philippines,Quezon City,2.69,3.88,-0.30670103092783507
68,Hungary,Budapest,2.62,3.88,-0.32474226804123707
69,Brazil,Ṣo Paulo,2.43,3.88,-0.37371134020618546
70,Bulgaria,Sofia,2.2,3.88,-0.4329896907216494
71,South Africa,Johannesburg,2.18,3.88,-0.4381443298969072
72,Mexico,Mexico City,2.15,3.88,-0.4458762886597938
73,Argentina,Buenos Aires,2.14,3.88,-0.44845360824742264
74,Colombia,Bogota,2.04,3.88,-0.4742268041237113
75,Egypt,Cairo (outskirts),1.95,3.88,-0.49742268041237114
76,Turkey,Istanbul,1.78,3.88,-0.5412371134020618
